iter	Passed	Remaining
429	2397	390
430	2401	384
431	2425	381
432	2428	375
433	2432	369
434	2436	364
435	2440	358
436	2442	352
437	2446	346
438	2450	340
439	2454	334
440	2457	328
441	2461	322
442	2464	317
443	2485	313
444	2489	307
445	2492	301
446	2495	295
447	2500	290
448	2504	284
449	2507	278
450	2510	272
451	2514	267
452	2518	261
453	2522	255
454	2525	249
455	2529	244
456	2534	238
457	2537	232
458	2540	226
459	2544	221
460	2549	215
461	2553	210
462	2556	204
463	2560	198
464	2565	193
465	2569	187
466	2573	181
467	2574	176
468	2578	170
469	2583	164
470	2586	159
471	2592	153
472	2596	148
473	2607	143
474	2611	137
475	2615	131
476	2618	126
477	2622	120
478	2625	115
479	2637	109
480	2640	104
481	2644	98
482	2648	93
483	2651	87
484	2655	82
485	2658	76
486	2664	71
487	2667	65
488	2671	60
489	2674	54
490	2679	49
491	2683	43
492	2686	38
493	2690	32
494	2695	27
495	2698	21
496	2712	16
497	2715	10
498	2718	5
499	2722	0
