iter	Logloss
320	0.3938678473
321	0.3937559436
322	0.3936763674
323	0.3935812857
324	0.3935070253
325	0.3934107349
326	0.393267526
327	0.3931815069
328	0.3931013573
329	0.3929814287
330	0.3928534312
331	0.3927096104
332	0.392615261
333	0.392493065
334	0.3923745725
335	0.3922950428
336	0.3921959967
337	0.3921135902
338	0.3920334124
339	0.3919452911
340	0.3918096152
341	0.3916931226
342	0.3916044513
343	0.391534278
344	0.391402912
345	0.391322582
346	0.3912470478
347	0.3911633864
348	0.3910170749
349	0.3909900714
350	0.3909556168
351	0.390915954
352	0.3908105379
353	0.3907868644
354	0.3906857265
355	0.3905803317
356	0.3905409498
357	0.3904363097
358	0.3903645267
359	0.3902479492
360	0.3901660391
361	0.3900788929
362	0.390022958
363	0.3899757446
364	0.3898852691
365	0.3898361208
366	0.3897935413
367	0.389729878
368	0.3895765091
369	0.3895032351
370	0.3893798085
371	0.3893173297
372	0.3892396195
373	0.3891622963
374	0.3890588252
375	0.3889887083
376	0.3889108837
377	0.3888469178
378	0.3887804411
379	0.3887129925
380	0.3886690212
381	0.3886196101
382	0.3885353892
383	0.3884709131
384	0.3883474947
385	0.3882874463
386	0.3882511642
387	0.3881571729
388	0.3881058088
389	0.3880196802
390	0.3879472706
391	0.3878648234
392	0.3877747836
393	0.3876885811
394	0.3875451641
395	0.3874810133
396	0.387396324
397	0.387283294
398	0.3872069723
399	0.387083436
400	0.3870399362
401	0.3868781529
402	0.3867621826
403	0.3866824718
404	0.3866147638
405	0.3865743574
406	0.3864675416
407	0.386451462
408	0.3864004468
409	0.3863394687
410	0.3862723285
411	0.3862064911
412	0.386147814
413	0.3861158852
414	0.3860660137
415	0.3859849751
416	0.3859376961
417	0.3858676851
418	0.3858184482
419	0.3857666844
420	0.3857060274
421	0.3856206266
422	0.385475582
423	0.3854281381
424	0.3853167291
425	0.3852228988
426	0.3851391336
427	0.3850557454
428	0.384956566
429	0.3849130861
430	0.3848642619
431	0.3847943802
432	0.3847355609
433	0.3846646161
434	0.3846336227
435	0.384595079
436	0.3845749059
437	0.3844848973
438	0.3844129579
439	0.3843396979
440	0.3842872069
441	0.3842330846
442	0.3841678242
443	0.3840831294
444	0.3839929449
445	0.3839758725
446	0.383895939
447	0.3838133612
448	0.3837734566
449	0.3837055499
450	0.383642865
451	0.3835817007
452	0.3835487001
453	0.3834594368
454	0.3833863605
455	0.3833331387
456	0.3832561411
457	0.3831799261
458	0.3831344086
459	0.3830833408
460	0.3830349823
461	0.3829481939
462	0.3828887404
463	0.3828481705
464	0.3827182136
465	0.3826765127
466	0.382594469
467	0.38259356
468	0.3825099437
469	0.3824485919
470	0.3823729363
471	0.3823178144
472	0.3822651447
473	0.3821862171
474	0.3821514089
475	0.3820884574
476	0.3820427295
477	0.381989696
478	0.3819312518
479	0.3819011882
480	0.3818141776
481	0.3817559871
482	0.3816705418
483	0.3816484823
484	0.3815784105
485	0.381535095
486	0.3814859568
487	0.3814528508
488	0.3814117234
489	0.3813167815
490	0.3812588515
491	0.3812299417
492	0.3811945042
493	0.3811494597
494	0.3810325654
495	0.3809839545
496	0.3809409152
497	0.3808748315
498	0.3808447047
499	0.3807407349
